,Unnamed: 0,French,English
0,0,histoire,history
1,1,seulement,only
2,2,police,police
3,3,aide,help
4,4,demande,request
5,5,genre,kind
6,6,mois,month
7,7,frère,brother
8,8,laisser,let
9,9,mettre,to put
10,10,aucun,no
11,11,laisse,leash
12,12,eux,them
13,13,chaque,each
14,14,parlé,speak
15,15,arrivé,come
16,16,devrait,should
17,17,bébé,baby
18,18,longtemps,long time
19,19,heures,hours
20,20,vont,will
21,21,pendant,while
22,22,revoir,meet again
23,24,place,square
24,25,parle,speak
25,26,compris,understood
26,27,savais,knew
27,28,étaient,were
28,29,voici,here is
29,30,pourrais,could
30,32,type,type
31,33,leurs,their
32,34,donné,given
33,35,train,train
34,36,corps,body
35,37,endroit,place
36,38,yeux,eyes
37,39,façon,way
38,40,écoute,listen
39,41,dont,whose
40,42,trouve,find
41,43,premier,first
42,44,perdu,lost
43,45,main,hand
44,46,première,first
45,47,côté,side
46,48,pouvoir,power
47,49,vieux,old
48,50,sois,be
49,51,tiens,here
50,52,matin,morning
51,53,tellement,so much
52,54,point,point
53,55,venu,came
54,56,suite,after
55,57,pardon,sorry
56,58,venez,come
57,59,devant,in front of
58,60,vers,towards
59,61,minutes,minutes
60,62,demandé,request
61,63,chambre,bedroom
62,64,mis,placed
63,65,belle,beautiful
64,66,droit,law
65,67,aimerais,would like to
66,68,aujourd'hui,today
67,69,mari,husband
68,70,cause,cause
69,71,enfin,finally
70,72,espère,hope
71,73,eau,water
72,74,attendez,Wait
73,75,parti,left
74,76,boulot,job
75,77,arrêter,Stop
76,78,dirait,would say
77,79,terre,Earth
78,80,compte,account
79,81,donne,given
80,82,loin,far
81,83,fin,end
82,84,croire,believe
83,85,chérie,sweetheart
84,86,gros,large
85,87,plutôt,rather
86,88,aura,will have
87,90,jouer,to play
88,91,bureau,office
